Dátum	Aktív fertőzött	Elhunyt	Gyógyult	Összesen	Aktív fertőzöttek változása	Napi új elhunyt	Napi új gyógyult	Napi új fertőzött
2020-03-04	2	0	0	2	2	0	0	2
2020-03-05	4	0	0	4	2	0	0	2
2020-03-06	4	0	0	4	0	0	0	0
2020-03-07	5	0	0	5	1	0	0	1
2020-03-08	7	0	0	7	2	0	0	2
2020-03-09	9	0	0	9	2	0	0	2
2020-03-10	12	0	0	12	3	0	0	3
2020-03-11	13	0	0	13	1	0	0	1
2020-03-12	15	0	1	16	2	0	1	3
2020-03-13	18	0	1	19	3	0	0	3
2020-03-14	29	0	1	30	11	0	0	11
2020-03-15	30	1	1	32	1	1	0	2
2020-03-16	36	1	2	39	6	0	1	7
2020-03-17	47	1	2	50	11	0	0	11
2020-03-18	55	1	2	58	8	0	0	8
2020-03-19	70	1	2	73	15	0	0	15
2020-03-20	74	4	7	85	4	3	5	12
2020-03-21	92	4	7	103	18	0	0	18
2020-03-22	109	6	16	131	17	2	9	28
2020-03-23	138	8	21	167	29	2	5	36
2020-03-24	157	9	21	187	19	1	0	20
2020-03-25	195	10	21	226	38	1	0	39
2020-03-26	223	10	28	261	28	0	7	35
2020-03-27	256	10	34	300	33	0	6	39
2020-03-28	298	11	34	343	42	1	0	43
2020-03-29	361	13	34	408	63	2	0	65
2020-03-30	398	15	34	447	37	2	0	39
2020-03-31	439	16	37	492	41	1	3	45
2020-04-01	465	20	40	525	26	4	3	33
2020-04-02	522	21	42	585	57	1	2	60
2020-04-03	554	26	43	623	32	5	1	38
2020-04-04	588	32	58	678	34	6	15	55
2020-04-05	633	34	66	733	45	2	8	55
2020-04-06	639	38	67	744	6	4	1	11
2020-04-07	699	47	71	817	60	9	4	73
2020-04-08	743	58	94	895	44	11	23	78
2020-04-09	818	66	96	980	75	8	2	85
2020-04-10	1001	77	112	1190	183	11	16	210
2020-04-11	1110	85	115	1310	109	8	3	120
2020-04-12	1193	99	118	1410	83	14	3	100
2020-04-13	1229	109	120	1458	36	10	2	48
2020-04-14	1268	122	122	1512	39	13	2	54
